RegAcadYear;AnonID;Course;Exam Mark;Deferred;Exemption;Percent;Symbol;RegProgram;RegProgramDescr;Gender;Population Group;DEMOG;SA Citizenship Status;Repeat?
2012;AAB0074;BUS2016H;88;0;E;88;1;CB003;BBusSc in Actuarial Science;M;White;White;C;FALSE
2012;AAB0032;BUS2016H;83;0;E;83;1;CB003;BBusSc in Actuarial Science;M;White;White;C;FALSE
2012;AAB0151;BUS2016H;83;0;E;87;1;CB003;BBusSc in Actuarial Science;M;Indian;Indian;C;FALSE
2012;AAB0307;BUS2016H;82;0;E;82;1;CB003;BBusSc in Actuarial Science;M;Non Applicable/Unknown;International;F;FALSE
2012;AAB0322;BUS2016H;82;0;E;82;1;CB003;BBusSc in Actuarial Science;M;Indian;Indian;C;FALSE
2012;AAB0025;BUS2016H;80;0;E;80;1;CB003;BBusSc in Actuarial Science;M;White;White;C;FALSE
2012;AAB0345;BUS2016H;80;0;E;80;1;CB003;BBusSc in Actuarial Science;M;Coloured;Coloured;C;FALSE
2012;AAB0170;BUS2016H;79;0;E;79;1;CB003;BBusSc in Actuarial Science;M;Black;Black;C;FALSE
2012;AAB0243;BUS2016H;79;0;E;79;1;CB003;BBusSc in Actuarial Science;M;Indian;Indian;C;FALSE
2012;AAB0210;BUS2016H;79;0;E;79;1;CB018;BBusSc Actuarial Sc;M;Indian;Indian;C;FALSE
2012;AAB0221;BUS2016H;78;0;E;78;1;CB003;BBusSc in Actuarial Science;M;Black;Black;C;FALSE
2012;AAB0006;BUS2016H;78;0;E;80;1;CB003;BBusSc in Actuarial Science;M;White;White;C;FALSE
2012;AAB0297;BUS2016H;78;0;E;78;1;CB018;BBusSc Actuarial Sc;M;Black;Black;C;FALSE
2012;AAB0341;BUS2016H;77;0;E;77;1;CB003;BBusSc in Actuarial Science;F;White;White;C;FALSE
2012;AAB0321;BUS2016H;76;0;E;76;1;CB003;BBusSc in Actuarial Science;M;Indian;Indian;C;FALSE
2012;AAC0846;BUS2016H;76;0;E;76;1;CB003;BBusSc in Actuarial Science;M;White;White;C;FALSE
2012;AAB0359;BUS2016H;76;0;E;76;1;CB003;BBusSc in Actuarial Science;F;Chinese;Chinese;C;FALSE
2012;AAA0064;BUS2016H;75;0;E;75;1;CB003;BBusSc in Actuarial Science;M;White;White;C;FALSE
2012;AAB0022;BUS2016H;75;0;E;75;1;CB003;BBusSc in Actuarial Science;M;White;White;C;FALSE
2012;AAB0302;BUS2016H;74;0;E;74;2+;CB003;BBusSc in Actuarial Science;M;White;White;C;FALSE
2012;AAB0066;BUS2016H;73;0;E;73;2+;CB003;BBusSc in Actuarial Science;M;White;White;C;FALSE
2012;AAB0150;BUS2016H;72;0;E;72;2+;CB003;BBusSc in Actuarial Science;M;White;White;C;FALSE
